,numero_hab,rue,code_postal,insee,commune,geometry,type
9307,4,rue de Talma,95880,95210,Enghien-les-Bains,POINT (2.30474 48.969269),defibrillateurs
9308,18,rue de la Coussaye,95880,95210,Enghien-les-Bains,POINT (2.30436 48.964722),defibrillateurs
9309,395,rue du général Leclerc,95130,95252,Franconville,POINT (2.20629 48.989042),defibrillateurs
9310,215,rue louis savoie,95120,95219,Ermont,POINT (2.25785 48.992561),defibrillateurs
9311,160,Chaussée Jules César,95130,95491,Le Plessis-Bouchard,POINT (2.2253925401696 49.000651740836),defibrillateurs
9312,25,Chemin des Hayettes,95520,95476,Osny,POINT (2.08456 49.071121),defibrillateurs
9313,25,chemin des Hayettes,95520,95476,Osny,POINT (2.08456 49.071121),defibrillateurs
9314,34,Avenue Paul Thoureau,95290,95313,L'Isle-Adam,POINT (2.21964 49.120571),defibrillateurs
9315,8,8 Rue de Fremecourt 95830 Cormeilles-en-Vexin,95830,95177,Cormeilles-en-Vexin,POINT (2.008764 49.120068),defibrillateurs
9316,32,32 Rue de la Mairie 95330 Domont,95330,95199,Domont,POINT (2.32674 49.02675),defibrillateurs
9317,carrefour,de la croix rouge,95150,95607,taverny,POINT (2.237629 49.034188),defibrillateurs
9318,13,RUE WELWYN - PARC MUNICIPAL,95660,95134,Champagne-sur-Oise,POINT (2.236536 49.137081),defibrillateurs
9319,1,rue de la mairie,95330,95199,Domont,POINT (2.32675 49.02686),defibrillateurs
9320,4,avenue jean jaures,95330,95199,Domont,POINT (2.33657 49.03162),defibrillateurs
9321,66,avenue jean jaures,95330,95199,Domont,POINT (2.33714 49.031897),defibrillateurs
9322,32,32 Rue de la Mairie 95330 Domont,95330,95199,Domont,POINT (2.32674 49.02675),defibrillateurs
9323,1,rue de la mairie (parc de la maire),95330,95199,Domont,POINT (2.32675 49.02686),defibrillateurs
9324,185,rue d'Ombreval,95330,95199,Domont,POINT (2.314249 49.032747),defibrillateurs
9325,44,rue aristide Briand,95330,95199,Domont,POINT (2.33411 49.036072),defibrillateurs
9326,1,RD 124- route de montmorency,95330,95199,Domont,POINT (2.317416 49.0191),defibrillateurs
9327,36,avenue jean jaures,95330,95199,Domont,POINT (2.334427 49.030831),defibrillateurs
9328,40,rue aristide Briand,95330,95199,Domont,POINT (2.334954 49.035592),defibrillateurs
9329,20,place Maréchal Joffre,95330,95199,Domont,POINT (2.324875 49.024105),defibrillateurs
9330,220,Michel Carré,95870,95063,Bezons,POINT (2.227029 48.927853),defibrillateurs
9331,18,allée des promeneurs,95330,95199,Domont,POINT (2.3349 49.032792),defibrillateurs
9332,26,rue Pelletier,95360,95427,Montmagny,POINT (2.34426 48.971008),defibrillateurs
9333,18,RUE DE L'HÃ–TEL DIEU,95660,95134,Champagne-sur-Oise,POINT (2.243154 49.141541),defibrillateurs
9334,3,rue de la côte des Auges,95800,95183,Courdimanche,POINT (1.997259 49.031462),defibrillateurs
9335,32,rue de la station,95130,95252,Franconville,POINT (2.23055 48.985807),defibrillateurs
9336,45,rue de la République,95240,95176,Cormeilles-en-Parisis,POINT (2.204788 48.97052),defibrillateurs
9337,10,rue robert machy,95810,95287,GRISY-LES-PLATRES,POINT (2.05052 49.13081),defibrillateurs
9338,69,rue gabriel péri,95270,95566,Saint-Martin-du-Tertre,POINT (2.3522 49.105358),defibrillateurs
9339,2,RUE PASTEUR,95880,95210,Enghien-les-Bains,POINT (2.31226 48.968368),defibrillateurs
9340,11,avenue des érables,95400,95680,Villiers-le-Bel,POINT (2.393659 49.0005),defibrillateurs
9341,93,avenue Henri Barbusse,95670,95371,Marly-la-Ville,POINT (2.51361 49.095821),defibrillateurs
9342,2,rue gaetan pirou,95580,95014,Andilly,POINT (2.299393 48.999247),defibrillateurs
9343,15,rue de la haie au maréchal,95470,95250,Fosses,POINT (2.51961 49.098869),defibrillateurs
9344,2,Avenue Franz Liszt,95470,95250,Fosses,POINT (2.51529 49.098919),defibrillateurs
9345,24 bis,place rendu,95300,95211,Ennery,POINT (2.10567 49.07626),defibrillateurs
9346,20,Rue de la station,95410,95288,Groslay,POINT (2.34981 48.98452),defibrillateurs
9347,2,Rue Émile Combres,95560,95430,Montsoult,POINT (2.325975 49.068354),defibrillateurs
9348,38,du Coudray,95740,95256,Frépillon,POINT (2.20886 49.052479),defibrillateurs
9349,2,Rue Denis Papin,95280,95323,Jouy-le-Moutier,POINT (2.0339 49.00809),defibrillateurs
9350,55 bis,quai de seine,95530,95257,La Frette-sur-Seine,POINT (2.17806 48.974049),defibrillateurs
9351,62,Général De Gaulle,95880,95210,Enghien-les-Bains,POINT (2.30529 48.969299),defibrillateurs
9352,139,Rue de la belle étoile,95700,95527,Roissy-en-France,POINT (2.50425 48.982739),defibrillateurs
9353,30,30 Rue de Paris 95270 Viarmes,95270,95652,Viarmes,POINT (2.36986 49.125578),defibrillateurs
9354,40 bis,avenue de Paris,95600,95203,Eaubonne,POINT (2.28524 48.992179),defibrillateurs
9355,43,Rue de Malleville,95880,95210,Enghien-les-Bains,POINT (2.30576 48.967819),defibrillateurs
9356,62,Rue du Général de Gaulle,95880,95210,Enghien-les-Bains,POINT (2.30529 48.969299),defibrillateurs
9357,43,RUE MALLEVILLE,95880,95210,Enghien-les-Bains,POINT (2.30576 48.967819),defibrillateurs
9358,21,rue André Vassord,95270,95149,Chaumontel,POINT (2.43045 49.12098),defibrillateurs
9359,19,Rue d'Enghien,95600,95203,Eaubonne,POINT (2.280592 48.988005),defibrillateurs
9360,2,impasse de l'église,95720,95492,Le Plessis-Gassot,POINT (2.41345 49.03405),defibrillateurs
9361,26,rue du prachay,95300,95500,Pontoise,POINT (2.0996 49.04974),defibrillateurs
9362,24 bis,place rendu,95300,95211,Ennery,POINT (2.10567 49.07626),defibrillateurs
9363,21,rue des sablons,95270,95055,Bellefontaine,POINT (2.46396 49.095558),defibrillateurs
9364,13,Place Pierre Blanchard,95430,95120,Butry-sur-Oise,POINT (2.19748 49.085449),defibrillateurs
9365,13,place pierre blanchard,95430,95120,Butry-sur-Oise,POINT (2.19748 49.08545),defibrillateurs
9366,38,rue du coudray,95740,95256,Frépillon,POINT (2.20886 49.052479),defibrillateurs
9367,13,rue des sablons,95650,95271,Génicourt,POINT (2.06489 49.08712),defibrillateurs
9368,8 quater,rue d'Eaubonne,95580,95369,Margency,POINT (2.28596 48.998869),defibrillateurs
9369,1,rue Pasteur,95180,95388,Menucourt,POINT (1.98375 49.02483),defibrillateurs
9370,9,rue du 11 novembre,95360,95427,Montmagny,POINT (2.34525 48.97481),defibrillateurs
9371,9,rue de la Boutrolle,95420,95459,Nucourt,POINT (1.85411 49.160301),defibrillateurs
9372,28,place honoré Daumier,95760,95628,Valmondois,POINT (2.19018 49.096611),defibrillateurs
9373,15,rue des Ecoles,95500,95612,Le Thillay,POINT (2.47484 48.999001),defibrillateurs
9374,25,rue rodin,95300,95500,Pontoise,POINT (2.09366 49.056992),defibrillateurs
9375,2,place de la fraternité,95300,95500,Pontoise,POINT (2.10061 49.050621),defibrillateurs
9376,16 c,boulevard de l'europe,95300,95500,Pontoise,POINT (2.08606 49.060249),defibrillateurs
9377,18,avenue saint lambert,95600,95203,Eaubonne,POINT (2.272435 48.989412),defibrillateurs
9378,28,28 Rue des Ouches 95100 Argenteuil,95100,95018,Argenteuil,POINT (2.24506 48.94209),defibrillateurs
9379,9,rue Jean Mermoz,95600,95203,Eaubonne,POINT (2.27804 48.993009),defibrillateurs
9380,88,rue d' Ermont,95390,95574,Saint-Prix,POINT (2.25991 49.0037),defibrillateurs
9381,3,place du feu saint jean,95290,95313,L'Isle-Adam,POINT (2.21375 49.113781),defibrillateurs
9382,23,avenue Frédéric Joliot Curie,95140,95268,Garges-lès-Gonesse,POINT (2.41116 48.97537),defibrillateurs
9383,27,rue Ferber,95160,95428,Montmorency,POINT (2.31387 48.97392),defibrillateurs
9384,12 ter,rue de Paris,95500,95277,Gonesse,POINT (2.44395 48.984619),defibrillateurs
9385,74,rue des Moulines,95000,95450,Neuville-sur-Oise,POINT (2.056817 49.017973),defibrillateurs
9386,161,RUE DE PARIS,95680,95426,Montlignon,POINT (2.29234 49.02098),defibrillateurs
9387,3,rue alsace lorraine,95460,95229,Ézanville,POINT (2.35056 49.035482),defibrillateurs
9388,60,rue d' Ermont,95390,95574,Saint-Prix,POINT (2.26225 49.0068),defibrillateurs
9389,77,route de la croix blanche,95580,95014,Andilly,POINT (2.304063 49.010881),defibrillateurs
9390,36,RUE DE PONTOISE,95560,95430,Montsoult,POINT (2.3032 49.070541),defibrillateurs
9391,26,rue de la chapelle saint sauveur,95510,95008,Aincourt,POINT (1.769717 49.071008),defibrillateurs
9392,20,Boulevard de  VERDUN,95220,95306,Herblay-sur-Seine,POINT (2.15667 48.999851),defibrillateurs
9393,67,boulevard paul vaillant couturier,95190,95280,Goussainville,POINT (2.466332 49.032003),defibrillateurs
9394,48,roger salengro,95270,95566,Saint-Martin-du-Tertre,POINT (2.343684 49.103573),defibrillateurs
9395,12,rue de l'Isle,95740,95256,Frépillon,POINT (2.20883 49.05106),defibrillateurs
9396,98,rue du chateau,95320,95563,Saint-Leu-la-Forêt,POINT (2.24926 49.020741),defibrillateurs
9397,3,Rue Henri Dimont,95110,95582,Sannois,POINT (2.25208 48.973358),defibrillateurs
9398,20,RUE MARC SEGUIN,95190,95280,Goussainville,POINT (2.450665 49.025382),defibrillateurs
9840,16,AVENUE D'ARMORIQUE,78760,78321,Jouars-Pontchartrain,POINT (1.91504 48.802422),defibrillateurs
9841,2,place de Strasbourg,78600,78396,Le Mesnil-le-Roi,POINT (2.114473 48.922073),defibrillateurs
9842,76,Avenue Paul Vaillant Couturier,78390,78073,Bois-d'Arcy,POINT (2.02141 48.800018),defibrillateurs
9843,1,Rue de Perdreau,78390,78073,Bois-d'Arcy,POINT (2.01842 48.80341),defibrillateurs
9844,76,Avenue Paul Vaillant Couturier,78390,78073,Bois-d'Arcy,POINT (2.02141 48.800018),defibrillateurs
9845,7,Stade Jean Moulin,78390,78073,Bois-d'Arcy,POINT (2.03091 48.800819),defibrillateurs
9846,4,Allee des Tilleuls,78180,78423,Montigny-le-Bretonneux,POINT (2.04104 48.78801),defibrillateurs
9847,4,Allee des Tilleuls,78180,78423,Montigny-le-Bretonneux,POINT (2.04104 48.78801),defibrillateurs
9848,11,Rue du Parc,78390,78073,Bois-d'Arcy,POINT (2.02369 48.799759),defibrillateurs
9849,87,Place de la Libération,78670,78672,Villennes-sur-Seine,POINT (1.99857 48.93921),defibrillateurs
9850,28,Avenue du Vallon,78450,78152,Chavenay,POINT (1.9917 48.85798),defibrillateurs
9851,16,Allée des Portiques du Levant,78430,78350,Louveciennes,POINT (2.1013155 48.8630105),defibrillateurs
9852,14,Rue de la Ferme de l'hopital,78350,78343,Les Loges-en-Josas,POINT (2.14364 48.76268),defibrillateurs
9853,45,avenue du Manet,78180,78423,Montigny-le-Bretonneux,POINT (2.02142 48.76626),defibrillateurs
9854,40,Rue des Bleuets,78410,78238,Flins-sur-Seine,POINT (1.87558 48.969189),defibrillateurs
9855,150,rue du Pré aux Moutons,78670,78672,Villennes-sur-Seine,POINT (1.99181 48.93644),defibrillateurs
9856,19,Rue Saint Pascal,78800,78311,Houilles,POINT (2.1895 48.926861),defibrillateurs
9857,115,Rue du Général de Gaulle,78740,78638,Vaux-sur-Seine,POINT (1.96586 49.005032),defibrillateurs
9858,8,Rue du Capitaine Guise,78800,78311,Houilles,POINT (2.19238 48.92281),defibrillateurs
9859,1 bis,Place de la Mairie,78750,78367,Mareil-Marly,POINT (2.07674 48.882439),defibrillateurs
9860,41 bis,Rue de la Marne,78800,78311,Houilles,POINT (2.183 48.92355),defibrillateurs
9861,68,Rue Gabriel Péri,78800,78311,Houilles,POINT (2.19195 48.925369),defibrillateurs
9862,5,Grande rue,78720,78193,Dampierre-en-Yvelines,POINT (1.98615 48.70528),defibrillateurs
9863,5,Place Charles de Gaulle,78960,78688,Voisins-le-Bretonneux,POINT (2.04998 48.758591),defibrillateurs
9864,15,Place du 11 novembre 1918,78440,78267,Gargenville,POINT (1.80992 48.98986),defibrillateurs
9865,90,Place de la Mairie,78610,78486,Le Perray-en-Yvelines,POINT (1.85404 48.69458),defibrillateurs
9866,133,Place du Commandant Grimblot,78970,78402,Mézières-sur-Seine,POINT (1.795 48.96072),defibrillateurs
9867,26,Place de la Maire,78890,78265,Garancières,POINT (1.7549 48.820709),defibrillateurs
9868,53,route de la Grange aux Moines,78460,78162,Choisel,POINT (2.00648 48.67746),defibrillateurs
9869,39,Rue Tibaldi,78440,78501,Porcheville,POINT (1.78188 48.975609),defibrillateurs
9870,56,Rue Ambroise Croizat,78800,78311,Houilles,POINT (2.19711 48.935669),defibrillateurs
9871,24,Rue des Ventines,78840,78255,Freneuse,POINT (1.59832 49.03931),defibrillateurs
9872,1,Rue des Lauriers,78610,78486,Le Perray-en-Yvelines,POINT (1.8537 48.691891),defibrillateurs
9873,3,Rue Jean Mermoz,78800,78311,Houilles,POINT (2.18935 48.925999),defibrillateurs
9874,3,Rue Caudron,78960,78688,Voisins-le-Bretonneux,POINT (2.06244 48.760441),defibrillateurs
9875,10,Allée Félix Toussaint,78800,78311,Houilles,POINT (2.18518 48.92305),defibrillateurs
9876,20,Rue Gambetta,78800,78311,Houilles,POINT (2.18744 48.922619),defibrillateurs
9877,8,Rue de Témara,78100,78551,Saint-Germain-en-Laye,POINT (2.0750621 48.8940047),defibrillateurs
9878,20,Rue Gambetta,78800,78311,Houilles,POINT (2.18744 48.922619),defibrillateurs
9879,67,Boulevard Jean Jaurès,78800,78311,Houilles,POINT (2.19596 48.920219),defibrillateurs
9880,3,Mail de Schenefeld,78960,78688,Voisins-le-Bretonneux,POINT (2.03606 48.758862),defibrillateurs
9881,17,Route de chevreuse,78720,78193,Dampierre-en-Yvelines,POINT (1.9901 48.707069),defibrillateurs
9882,8,Rue du Stade,78890,78265,Garancières,POINT (1.75709 48.811439),defibrillateurs
9883,26,Rue Ledru Rollin,78800,78311,Houilles,POINT (2.17082 48.925419),defibrillateurs
9884,19,Chemin de l'Auberderie,78620,78224,L'Étang-la-Ville,POINT (2.07341 48.86422),defibrillateurs
9885,32,Rue des Prés l'Abbé,78440,78267,Gargenville,POINT (1.81633 48.990421),defibrillateurs
9886,12,Rue Berthe Morisot,78440,78267,Gargenville,POINT (1.82162 48.9907),defibrillateurs
9887,14,Rue de Montesquieu,78440,78267,Gargenville,POINT (1.80701 48.989651),defibrillateurs
9888,149,Rue de Guette,78830,78120,Bullion,POINT (1.9989 48.620812),defibrillateurs
9889,784,rue de Breteuil,78670,78672,Villennes-sur-Seine,POINT (1.98437 48.94596),defibrillateurs
9890,36,avenue FOCH,78670,78672,Villennes-sur-Seine,POINT (1.9983346 48.9408836),defibrillateurs
9891,81,Avenue de Paris,78740,78638,Vaux-sur-Seine,POINT (1.98172 48.997429),defibrillateurs
9892,1,Re de la poste,78350,78343,Les Loges-en-Josas,POINT (2.14088 48.763),defibrillateurs
9893,36,avenue FOCH,78670,78672,Villennes-sur-Seine,POINT (1.99827 48.94075),defibrillateurs
9894,11,Rue André Samitier,78440,78267,Gargenville,POINT (1.80898 48.989521),defibrillateurs
9895,31,rue René DHAL,78980,78107,Bréval,POINT (1.521875 48.945573),defibrillateurs
9896,3,Place du 8 mai 1945,78440,78267,Gargenville,POINT (1.80802 48.985592),defibrillateurs
9897,9,rue de la Forêt,78980,78107,Bréval,POINT (1.531408 48.944312),defibrillateurs
9898,115,Route des Aulnettes,78830,78120,Bullion,POINT (2.000058 48.620812),defibrillateurs
9899,,Route de Flexanville,78910,78465,Orgerus,POINT (1.71122 48.84288),defibrillateurs
9900,19,17 Ter avenue de Vaucresson,78150,78158,Le Chesnay-Rocquencourt,POINT (2.13572 48.82194),defibrillateurs
9901,1,rue de Versailles DGL,78150,78158,Le Chesnay-Rocquencourt,POINT (2.13194 48.82828),defibrillateurs
9902,24,rue St Louis,78000,78646,Versailles,POINT (2.12575 48.79499),defibrillateurs
9903,11,Rue André Saditier,78440,78267,Gargenville,POINT (1.80898 48.989521),defibrillateurs
9904,3,boulevard Carnot,78110,78650,Le Vésinet,POINT (2.14297 48.89248),defibrillateurs
9905,7,rue Jean Hoet,78200,78361,Mantes-la-Jolie,POINT (1.710984 48.996745),defibrillateurs
9906,186,186 Rue du Général de Gaulle 78740 Vaux-sur-Seine,78740,78638,Vaux-sur-Seine,POINT (1.96567 49.0051),defibrillateurs
9907,27,BD DE LA REPUBLIQUE,78400,78146,Chatou,POINT (2.15134 48.893522),defibrillateurs
9908,356,RUE YVAN TOURGUENEFF,92500,92063,Rueil-Malmaison,POINT (2.154035 48.868734),defibrillateurs
9909,24 bis,Grande Rue,78550,78310,Houdan,POINT (1.601 48.790691),defibrillateurs
9910,24 bis,Grande Rue,78550,78310,Houdan,POINT (1.601 48.790691),defibrillateurs
9911,2,PLACE DE LA LIBERATION,78120,78517,Rambouillet,POINT (1.81948 48.64511),defibrillateurs
9912,44,Place Henri-Dunant,78200,78361,Mantes-la-Jolie,POINT (1.711729 48.989124),defibrillateurs
9913,8,Place Maurice Berteaux,78400,78146,Chatou,POINT (2.1556099 48.8870099),defibrillateurs
9914,1,rue des fontaines,78120,78517,Rambouillet,POINT (1.83556 48.63564),defibrillateurs
9915,120,RUE DU MAL JOFFRE,78380,78092,Bougival,POINT (2.14017 48.86124),defibrillateurs
9916,15,rue de l'etang d'or,78120,78517,Rambouillet,POINT (1.82793 48.6327),defibrillateurs
9917,9,Rue du Village,78120,78517,Rambouillet,POINT (1.83929 48.644647),defibrillateurs
9918,10,avenue du Président Kennedy,78100,78551,Saint-Germain-en-Laye,POINT (2.07877 48.913326),defibrillateurs
9919,,CENTRE DU BOIS HENRY,78580,78380,Maule,POINT (1.820205 48.914734),defibrillateurs
9920,19,Chemin de l'Auberderie,78620,78224,L'Étang-la-Ville,POINT (2.07341 48.86422),defibrillateurs
9921,12,Place Charles de Gaulle,78100,78551,Saint-Germain-en-Laye,POINT (2.09496 48.89752),defibrillateurs
9922,1,AVENUE DES CHAUMES,78180,78423,Montigny-le-Bretonneux,POINT (2.02381 48.77803),defibrillateurs
9923,14,allée des Vignes,78120,78517,Rambouillet,POINT (1.85389 48.65339),defibrillateurs
9961,4,Rue Vitruve,91140,91661,Villebon-sur-Yvette,POINT (2.262234004198 48.697637517606),defibrillateurs
10397,174,RUE DU TEMPLE,75003,75103,Paris,POINT (2.362262 48.86669),defibrillateurs
10398,76,AV DE CLICHY,75017,75117,Paris,POINT (2.324619 48.888182),defibrillateurs
10399,38,BLD ROCHECHOUART,75018,75118,Paris,POINT (2.346756 48.883591),defibrillateurs
10400,33,RUE DU POTEAU,75018,75118,Paris,POINT (2.34156 48.89402),defibrillateurs
10409,1,ZAC DU CHAMP DE FOIRE,77000,77288,Melun,POINT (2.652059 48.544674),defibrillateurs
10410,100,AV DE LA GRANDE HAIE,77100,77276,Mareuil-lès-Meaux,POINT (2.877058 48.934713),defibrillateurs
10411,2,Z.I. RUE DU GRAND MORIN,77120,77131,Coulommiers,POINT (3.093398 48.805541),defibrillateurs
10412,2,ZAC DE LA SUCRERIE,77130,77305,Montereau-Fault-Yonne,POINT (2.955865 48.376804),defibrillateurs
10413,1,AV DE LA VOULZIE,77160,77379,Provins,POINT (3.297687 48.552126),defibrillateurs
10414,137,RUE DE L'INDUSTRIE,77176,77445,Savigny-le-Temple,POINT (2.590236 48.596972),defibrillateurs
10415,1,RUE SAINT FIACRE,77210,77014,Avon,POINT (2.739985 48.424248),defibrillateurs
10416,62,AVENUE DE LA FONTAINE,77230,77420,Saint-Mard,POINT (2.697291 49.03216),defibrillateurs
10417,3,PARC D'ACTIVITE COMMERCIALES,77270,77514,Villeparisis,POINT (2.612862 48.938897),defibrillateurs
10418,7,CCIAL CARREFOUR,77340,77373,Pontault-Combault,POINT (2.609169 48.793406),defibrillateurs
10419,1,RUE DU GENDARME CASTERMANT,77500,77108,Chelles,POINT (2.609293 48.878014),defibrillateurs
10420,1,C/C VAL D'EUROPE DISNEY,77700,77449,Serris,POINT (2.787674 48.845409),defibrillateurs
10421,2,LIEU DIT LA LOUVIERE,78120,78517,Rambouillet,POINT (1.848151 48.647208),defibrillateurs
10422,1,ZONE COMMERCIALE LES CLOSEAUX,78200,78118,Buchelay,POINT (1.684496 48.990748),defibrillateurs
10423,4,ROUTE DE MANTES,78240,78133,Chambourcy,POINT (2.054239 48.904321),defibrillateurs
10424,2,RUE MARIE CURIE,78310,78168,Coignières,POINT (1.930214 48.757202),defibrillateurs
10425,3,RUE PAUL LANGEVIN,78370,78490,Plaisir,POINT (1.954929 48.83005),defibrillateurs
10426,1,ZAC DU TRAIT D'UNION,78410,78029,Aubergenville,POINT (1.852199 48.961386),defibrillateurs
10427,68,AVENUE ROBERT SCHUMAN,78500,78586,Sartrouville,POINT (2.201327 48.949819),defibrillateurs
10481,3,RUE DE LA PLAINE,91100,91659,Villabé,POINT (2.446051 48.587375),defibrillateurs
10482,6,RUE DU BARON DE NIVIERE,91140,91661,Villebon-sur-Yvette,POINT (2.25802 48.70095),defibrillateurs
10483,,MORIGNY CHAMPIGNY,91150,91433,Morigny-Champigny,POINT (2.198287 48.442821),defibrillateurs
10484,38,AV DE LA DIVISION LECLERC,91310,91347,Longpont-sur-Orge,POINT (2.273072 48.652308),defibrillateurs
10485,1,ZAC DE LA CROIX BLANCHE,91700,91235,Fleury-Mérogis,POINT (2.391266 48.640746),defibrillateurs
10486,139,"LIEU DIT ""LA BACHE""",91760,91315,Itteville,POINT (2.343651 48.526488),defibrillateurs
10487,1,CENTRE COMMERCIAL ENOX,92230,92036,Gennevilliers,POINT (2.293679 48.92763),defibrillateurs
10488,82,AV GALLIENI,93140,93010,Bondy,POINT (2.479241 48.905543),defibrillateurs
10489,1,BLD MAXIME GORKI,93240,93072,Stains,POINT (2.383315 48.955531),defibrillateurs
10490,1,RUE LAENNEC,93250,93077,Villemomble,POINT (2.495353 48.88109),defibrillateurs
10491,66,AV DU GENERAL DE GAULLE,94000,94028,Créteil,POINT (2.447762 48.793384),defibrillateurs
10492,10,ALLEE DE L'ABREUVOIR,94260,94034,Fresnes,POINT (2.328812 48.755756),defibrillateurs
10493,52,AV FONTAINEBLEAU,94270,94043,Le Kremlin-Bicêtre,POINT (2.3615 48.81224),defibrillateurs
10494,1,ZAC DE LA FOSSE AUX MOINES,94380,94011,Bonneuil-sur-Marne,POINT (2.481778 48.770249),defibrillateurs
10495,59,ROUTE DE PROVINS,94490,94055,Ormesson-sur-Marne,POINT (2.553343 48.79468),defibrillateurs
10496,1,LES BOIS DE BOISSY - LOT N°33,95150,95607,Taverny,POINT (2.205477 49.012677),defibrillateurs
10497,5,AVENUE JACQUES ANQUETIL,95190,95280,Goussainville,POINT (2.457144 49.022368),defibrillateurs
10498,35,BLD VICTOR BORDIER,95370,95424,Montigny-lès-Cormeilles,POINT (2.200085 48.991338),defibrillateurs
10499,1,AVENUE DE LA REPUBLIQUE,95410,95288,Groslay,POINT (2.3555 48.98526),defibrillateurs
10500,12,AV DE LA PLAINE DES SPORTS,95000,95127,Cergy,POINT (2.052211 49.053608),defibrillateurs
10501,7,RUE EUGENE HENAFF,94400,94081,Vitry-sur-Seine,POINT (2.414857 48.793894),defibrillateurs
10504,106,BD DIDEROT,75012,75112,Paris,POINT (2.385858 48.847086),defibrillateurs
10505,117,RUE D'ALESIA,75014,75114,Paris,POINT (2.323482 48.828889),defibrillateurs
10541,1,Avenue de St GERMAIN,78370,78490,Plaisir,POINT (1.947113 48.82648),defibrillateurs
10548,134,LE VILLAGE,78310,78168,Coignières,POINT (1.923428 48.748614),defibrillateurs
10556,1,Rue de la Plaine - ZAC des Brateaux,91100,91659,Villabé,POINT (2.445049 48.588379),defibrillateurs
10557,5,Rue de la BASSE QUINTE,94000,94028,Créteil,POINT (2.441677 48.774852),defibrillateurs
10565,160,Av Francois MITTERAND,91200,91027,Athis-Mons,POINT (2.371544 48.708686),defibrillateurs
10567,3,CC BAY 1,77200,77468,Torcy,POINT (2.646824 48.849306),defibrillateurs
10568,36,ROUTE NATIONALE 6,77240,77495,Vert-Saint-Denis,POINT (2.635234 48.560094),defibrillateurs
10577,3,av STALINGRAD,95140,95268,Garges-lès-Gonesse,POINT (2.399142 48.95987),defibrillateurs
10589,1,Centre Commercial Auchan,91140,91661,Villebon-sur-Yvette,POINT (2.249854 48.699709),defibrillateurs
10597,,ZAC du Bois Rochefort,95240,95176,Cormeilles-en-Parisis,POINT (2.194003 48.953763),defibrillateurs
10598,1,CC FAMILY VILLAGE,78410,78029,Aubergenville,POINT (1.844509 48.959194),defibrillateurs
10603,2,CC LECLERC,94380,94011,Bonneuil-sur-Marne,POINT (2.487653 48.773747),defibrillateurs
10609,5,ZAC DU NOYER AUX PERDRIX - C.C. EDEN 2,77170,77450,Servon,POINT (2.581224 48.709176),defibrillateurs
10612,4,route de Mantes,78240,78133,Chambourcy,POINT (2.054239 48.904321),defibrillateurs
10620,104,Av du vieux chemin de Saint Denis,92230,92036,Gennevilliers,POINT (2.318937 48.931597),defibrillateurs
10623,17,AV DE LA CROIX BLANCHE,91700,91549,Sainte-Geneviève-des-Bois,POINT (2.348747 48.621653),defibrillateurs
10626,1,Zone du Chêne - ZAC le Clos du Chêne St Fiacre,77600,77085,Chanteloup-en-Brie,POINT (2.735766 48.860441),defibrillateurs
10628,2,ALLEE DES JACHERES,94260,94034,Fresnes,POINT (2.329617 48.754132),defibrillateurs
10637,1,Centre commercial du Bel,78120,78517,Rambouillet,POINT (1.828696 48.627721),defibrillateurs
10647,,C.C. Mon Beau Buchelay - Zac des Graviers,78200,78118,Buchelay,POINT (1.6637 48.985816),defibrillateurs
10677,17,"17,  Avenue du Docteur Arnold Netter",75012,75112,Paris,POINT (2.404861 48.842054),defibrillateurs
10678,15,"17, rue Crozatier",75012,75112,Paris,POINT (2.382124 48.846046),defibrillateurs
10679,47,"18, Avenue de la Jonchère",78170,78126,La Celle-Saint-Cloud,POINT (2.147176 48.85943),defibrillateurs
10680,19,"19, Ave de la Croix Blanche",91700,91549,Sainte-Geneviève-des-Bois,POINT (2.349192 48.622865),defibrillateurs
10681,1,"20Ter, rue de Bezons",92400,92026,Courbevoie,POINT (2.251285 48.894424),defibrillateurs
10682,18,"18, rue des Moissons",94260,94034,Fresnes,POINT (2.329765 48.753251),defibrillateurs
10683,63,"63, avenue de Choisy",75013,75113,Paris,POINT (2.362086 48.823182),defibrillateurs
10684,19,"21, rue des Épinants,  ZAC DU BOIS BOURDON",91150,91223,Étampes,POINT (2.142436 48.442826),defibrillateurs
10685,167,"167, BD Mcdonald",75019,75119,Paris,POINT (2.377195 48.898575),defibrillateurs
10686,26,"26, rue Diderot",92000,92050,Nanterre,POINT (2.210834 48.887385),defibrillateurs
10687,139,"139, avenue du Général de Gaulle",91170,91687,Viry-Châtillon,POINT (2.377591 48.682239),defibrillateurs
10688,26,"37, quai Jules Guesde",94400,94081,Vitry-sur-Seine,POINT (2.41851 48.794334),defibrillateurs
10689,148,"146, boulevard Chanzy",93100,93048,Montreuil,POINT (2.426643 48.859054),defibrillateurs
10690,77,"73/77, rue de Sèvres",92100,92012,Boulogne-Billancourt,POINT (2.228971 48.833301),defibrillateurs
10691,1,"18, Rue des Frères Lumières",78310,78168,Coignières,POINT (1.935308 48.756729),defibrillateurs
10692,124,"124, boulevard de Stalingrad",94600,94022,Choisy-le-Roi,POINT (2.399239 48.774271),defibrillateurs
10693,58,"58,avenue Philippe Auguste",75011,75111,Paris,POINT (2.393138 48.853235),defibrillateurs
10694,403,"403,avenue Roger Salengro",92370,92022,Chaville,POINT (2.195873 48.817123),defibrillateurs
