,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
3,Commissariat de police de Pantin,police,,POINT (2.405585100000035 48.89317529971883),14,Rue Eugène et Marie-Louise Cornet,93500,Pantin,,police
64,,police_municipale,,POINT (2.215440500000041 48.75419149975327),,,,,,police
67,Commissariat de police de Guyancourt,police,"SRID=3857;POLYGON((228220.151236704 6238526.89083992,228221.687445677 6238522.70082359,228222.97875177 6238520.53823534,228221.821029066 6238519.44004619,228231.349977478 6238506.70106257,228237.394625828 6238511.17828938,228234.34447178 6238515.30071918,228242.092308339 6238521.21404411,228238.563480481 6238526.02918317,228239.621015644 6238526.70499238,228240.188745047 6238527.70181106,228240.478175723 6238529.03653457,228240.188745047 6238531.199125,228239.687807338 6238532.28042041,228259.669655936 6238547.18203698,228260.526816015 6238548.70261157,228260.58247576 6238550.64556839,228260.493420168 6238550.96657869,228251.621256751 6238563.28324622,228225.149481841 6238543.34681117,228226.2515448 6238541.79244701,228224.06968278 6238540.06913057,228223.023279567 6238538.6330338,228220.975000936 6238534.7809166,228220.663306362 6238533.17586829,228225.706079295 6238532.24662993,228225.305329128 6238529.27306787,228220.351611788 6238529.44202023,228220.151236704 6238526.89083992))",POINT (2.050297025082522 48.78546318382877),1,Rue de la Division Leclerc,78280,Guyancourt,,police
68,Commissariat de police de Villeparisis,police,,POINT (2.608194600000037 48.94469439970605),,,,,,police
70,Commissariat de police de Massy,police,"SRID=3857;POLYGON((252944.644287904 6229275.46366518,252944.889190784 6229262.09723885,252944.944850529 6229260.49394418,252945.022774173 6229259.43070683,252945.078433918 6229258.60374453,252945.3010729 6229257.50675386,252945.523711882 6229256.49414721,252945.835406456 6229255.56592455,252946.135969081 6229254.68833232,252946.39200391 6229254.08076852,252946.648038739 6229253.45632799,252946.937469415 6229252.81501074,252947.293691785 6229252.27495414,252947.761233646 6229251.5661299,252948.262171355 6229250.8235522,252948.763109064 6229250.16535838,252949.442157957 6229249.25401319,252950.043283208 6229248.62957301,252950.755727949 6229247.93762584,252951.323457352 6229247.43132308,252952.091561838 6229246.87439007,252952.759478783 6229246.40184087,252953.538715219 6229245.87866144,252954.651910127 6229245.28797502,252955.854160627 6229244.7141654,252956.533209521 6229244.44413736,252957.702064174 6229244.08972556,252958.637147897 6229243.85345104,252959.427516282 6229243.71843703,252960.741086273 6229243.51591602,252962.154843806 6229243.34714851,252963.869163964 6229243.12775076,252965.338581243 6229242.94210651,252967.420255721 6229242.68895528,252969.101180032 6229242.48643429,252971.271910102 6229242.19952957,252972.707931533 6229242.03076209,252975.123564483 6229241.76073413,252977.850892008 6229241.40632245,252980.622747329 6229241.06878752,252983.450262395 6229240.71437587,252986.088534327 6229240.39371772,252987.268520929 6229240.24182702,252988.760202106 6229240.03930609,252990.207355486 6229239.81990843,252989.461514898 6229276.37501319,252970.93795163 6229275.98684643,252971.17172256 6229262.63729607,252967.54270716 6229262.43477461,252967.409123771 6229263.78491778,252962.789364904 6229263.68365703,252962.811628802 6229262.38414424,252959.171481453 6229262.23225315,252958.826391031 6229275.66618695,252944.644287904 6229275.46366518))",POINT (2.272461152906796 48.73051434490702),,Rue de la Division Leclerc,91300,Massy,,police
74,,,"SRID=3857;POLYGON((271261.5095254 6265971.13689935,271279.64347045 6265960.15325813,271285.20944499 6265969.61139277,271279.877241381 6265972.32340465,271278.051601732 6265974.45911462,271277.238969449 6265977.28977867,271277.383684787 6265979.27293907,271278.808574269 6265982.79855872,271271.817710247 6265987.06998449,271261.5095254 6265971.13689935))",POINT (2.436890931626158 48.94758862839402),,,,,,police
99,Brigade territoriale autonome de gendarmerie de Bobigny,,"SRID=3857;POLYGON((271819.498473001 6258022.94769995,271820.912230534 6258022.30420193,271937.708640275 6257969.31738806,272050.876034615 6258101.01453333,272057.733315248 6258108.90592792,272066.349443835 6258118.86332044,272071.258633379 6258124.51939556,272083.22547864 6258138.3039777,272099.489256245 6258156.55926968,272101.025465217 6258160.47112308,272100.780562338 6258164.28137164,272098.57643642 6258167.82067073,272094.646858395 6258170.1237561,272091.418593162 6258170.47937963,272088.190327929 6258169.8697393,271819.498473001 6258022.94769995))",POINT (2.443056941593134 48.90088118583735),,,,,,police
104,,police,,POINT (2.37408320000004 48.83401809973348),,,,,,police
108,,,"SRID=3857;POLYGON((263847.742758059 6245457.64672287,263852.32912108 6245449.81783549,263861.401659579 6245434.36299049,263867.501967675 6245423.47359803,263877.921472013 6245404.18046966,263922.660775363 6245431.31937006,263955.500025147 6245451.27201272,263963.793327211 6245456.006545,263960.219971556 6245462.43198588,263952.07138483 6245477.10906388,263947.908035875 6245484.61670346,263941.507165154 6245496.1149031,263935.918926716 6245506.17584059,263932.991224108 6245511.45149662,263917.072536925 6245501.13691579,263906.497185299 6245494.42399041,263893.617520215 6245486.27379598,263864.941619386 6245468.53615924,263848.833689069 6245458.35690307,263847.742758059 6245457.64672287))",POINT (2.370707010868993 48.82640730778176),71,Rue Albert,75013,Paris,,police
112,,,"SRID=3857;POLYGON((269322.067960952 6248361.58069241,269329.303727854 6248360.6503758,269338.988523553 6248359.41559208,269342.350372175 6248382.09842845,269322.913989082 6248368.07599671,269322.067960952 6248361.58069241))",POINT (2.419461803735491 48.84361902156682),,,,,,police
118,,police_municipale,,POINT (2.084783999999964 48.89959379971726),111bis,Rue Léon Desoyer,78100,Saint-Germain-en-Laye,,police
122,Commissariat de police de Meudon,police,"SRID=3857;POLYGON((249342.412357528 6242787.60394202,249359.666878601 6242782.02571455,249361.114031982 6242786.7587558,249365.232853141 6242785.40645803,249368.015840411 6242794.36543478,249379.036469999 6242790.81565041,249382.487374214 6242801.46500799,249388.275987735 6242799.60559538,249388.94390468 6242799.26752041,249389.723141116 6242799.43655789,249390.502377551 6242799.94367037,249390.836336023 6242800.45078288,249394.287240238 6242811.10015257,249391.058975005 6242812.28341669,249379.259108981 6242816.17128569,249372.357300552 6242818.36877766,249367.236603975 6242820.05915648,249354.546182025 6242824.45414299,249342.412357528 6242787.60394202))",POINT (2.240089838156067 48.81070911812031),94,Rue de Paris,92190,Meudon,,police
132,Gendarmerie - Brigade de Limours,gendarmerie,"SRID=3857;POLYGON((232626.933654839 6214766.04603504,232648.251337326 6214763.5525312,232650.399803498 6214781.93371521,232663.869461884 6214780.35000027,232663.535503412 6214777.48583569,232677.327988321 6214775.86842554,232680.255690929 6214800.95516564,232666.285094835 6214802.58942865,232666.173775344 6214801.59539235,232631.564545656 6214805.65577865,232626.933654839 6214766.04603504))",POINT (2.089939337148476 48.64469419135173),,Rue de Marcoussis,91470,Limours,,police
134,,police_municipale,,POINT (2.656949699999991 48.72463269976061),,,,,,police
154,,police,,POINT (2.196347299999988 48.95634379970316),,Rue des Frères Lumière,95240,Cormeilles-en-Parisis,,police
160,Commissariat de Police de Vitry-sur-Seine,police,,POINT (2.390130900000011 48.78751189974505),20,Avenue Youri Gagarine,94400,Vitry-sur-Seine,,police
163,Commissariat de police du 20e arrondissement,police,"SRID=3857;POLYGON((266755.318801986 6252105.42711299,266770.179954007 6252089.99396496,266783.827723579 6252075.88078184,266790.362177688 6252069.09495517,266800.670362536 6252078.52065603,266801.026584906 6252078.14836603,266807.249344442 6252084.13885256,266868.775627003 6252019.47905105,266862.319096537 6252013.25170026,266871.870308847 6252003.16610924,266874.998386538 6252006.71975571,266882.768486996 6252015.53618983,266886.564481632 6252019.85133847,266888.601628313 6252022.15275198,266886.108071719 6252024.86029808,266888.802003397 6252027.33093466,266872.43803825 6252045.04846602,266850.830925087 6252068.5365208,266844.908728177 6252063.71368003,266782.391702147 6252129.05071422,266766.6399942 6252114.20980518,266765.883021663 6252115.02207775,266755.318801986 6252105.42711299))",POINT (2.396888936569251 48.86551461903356),3-7,Rue des Gâtines,75020,Paris,,police
169,Commissariat de police de Palaiseau,police,,POINT (2.2513507 48.71326179976347),,,,,,police
190,,police_municipale,,POINT (2.06861740000004 48.89413769971855),,,,,,police
197,,police_municipale,,POINT (2.574425800000036 48.7905054997443),,,,,,police
203,Direction régionale de la police judiciaire de Paris,,"SRID=3857;POLYGON((256873.6991113 6256826.85402052,256908.441924377 6256766.64487375,256934.668796408 6256765.32420547,256949.474288683 6256779.42827602,256947.21450302 6256781.81564202,256972.751194208 6256815.79758437,257003.419713921 6256833.98229713,257005.000450691 6256832.3229828,257006.325152631 6256833.60979797,257028.054717234 6256854.33432181,256997.530912859 6256907.21256474,256881.669586841 6256839.62058193,256873.6991113 6256826.85402052),(256893.347001425 6256829.96946609,256925.484938417 6256848.27273197,256947.370350307 6256809.83761251,256922.690819198 6256777.95522073,256893.347001425 6256829.96946609),(256955.307430001 6256865.6955815,256988.20233953 6256884.65926799,257005.568180094 6256854.55443549,256972.673270564 6256835.57388465,256955.307430001 6256865.6955815))",POINT (2.30822327248272 48.89365374875236),,,,,,police
211,,,"SRID=3857;POLYGON((272713.727942544 6259645.98845057,272746.222101906 6259631.03273347,272747.591331643 6259631.01579609,272748.615470958 6259631.38841839,272749.494894936 6259632.04897615,272750.084888237 6259632.845033,272750.363186964 6259633.77658899,272750.463374505 6259634.69120769,272750.307527218 6259635.58888911,272749.962436797 6259636.31719674,272749.56168663 6259636.87613055,272749.071880871 6259637.28262789,272797.061713352 6259615.04386468,272796.171157425 6259615.11161406,272795.336261244 6259614.99305265,272794.456837267 6259614.60349372,272793.733260577 6259613.99374936,272793.243454817 6259613.28238099,272792.909496345 6259612.31695258,272792.864968549 6259611.4531483,272793.121003377 6259610.52159477,272793.510621595 6259609.77635203,272794.156274642 6259609.09885867,272804.497855337 6259604.27172012,272805.42180711 6259604.1870335,272806.356890833 6259604.35640674,272807.047071676 6259604.66127857,272807.870835908 6259605.35570889,272808.304981922 6259606.01626461,272808.405169463 6259606.37194849,272838.973501635 6259592.21235442,272840.131224339 6259594.65132587,272842.045919581 6259593.7705861,272843.303829827 6259596.56524146,272863.34133817 6259587.31747634,272865.801498916 6259592.56803771,272871.55671659 6259589.87500744,272877.256274519 6259602.18842959,272878.859275186 6259605.66058075,272884.25827049 6259617.39815597,272885.861271157 6259620.87031337,272893.876274494 6259638.28193393,272893.041378314 6259638.65455655,272891.39384985 6259635.08076754,272887.653514959 6259636.77450622,272889.301043423 6259640.39910813,272798.586790375 6259682.45476627,272800.969027478 6259685.53738818,272799.777908927 6259687.53601177,272798.931880797 6259688.75551115,272797.150768944 6259690.90657297,272795.959650393 6259692.14301033,272789.402932385 6259696.85163645,272785.373166818 6259698.49457495,272781.387929048 6259699.49388822,272777.603066361 6259699.81570099,272775.844218406 6259699.78182596,272773.729148081 6259699.59551331,272771.614077756 6259694.95463568,272766.682624314 6259697.76626197,272749.717533917 6259661.97737783,272726.295913054 6259672.83428315,272713.727942544 6259645.98845057),(272781.276609557 6259646.66594688,272782.924138021 6259650.22280337,272788.278605528 6259661.87575319,272789.926133992 6259665.34792884,272803.662959156 6259658.9455768,272821.474077682 6259650.71398843,272819.882208964 6259647.2756936,272814.472081712 6259635.50420218,272812.880212993 6259632.03203877,272799.243575371 6259638.34968349,272795.057962517 6259640.29748376,272781.276609557 6259646.66594688),(272815.629804416 6259630.74479806,272817.232805083 6259634.21696094,272822.642932336 6259645.95457576,272824.234801054 6259649.40980747,272885.070902773 6259621.20906051,272883.479034054 6259617.75384032,272878.068906802 6259605.99932729,272876.477038083 6259602.54411331,272815.629804416 6259630.74479806))",POINT (2.450618919980039 48.91023686960168),,Rue de Carency,93000,Bobigny,,police
228,Brigade de gendarmerie de Gif-sur-Yvette,gendarmerie,"SRID=3857;POLYGON((237893.113673848 6223988.17049624,237919.796955791 6223975.08225396,237920.464872735 6223976.41469007,237942.739902843 6223965.06369039,237941.849346917 6223963.37706469,237956.020318095 6223956.24264168,237963.823814399 6223972.04632436,237962.96665432 6223972.48484745,237964.135508974 6223974.93045746,237960.061215611 6223976.81948084,237959.003680448 6223974.62686445,237949.764162712 6223979.18076065,237950.832829824 6223981.37337821,237941.415200903 6223985.89354542,237942.472736065 6223988.13676363,237929.225716661 6223994.42789755,237927.500264554 6223990.88597171,237914.531543876 6223997.2783056,237915.589079039 6223999.43719518,237911.971195588 6224001.52861998,237910.913660425 6223999.33599722,237901.440371759 6224003.97423835,237896.531182215 6223994.54596176,237893.113673848 6223988.17049624))",POINT (2.137355417214204 48.69923510484934),16,Rue Raoul Dautry,91190,Gif-sur-Yvette,,police
235,,police_municipale,"SRID=3857;POLYGON((274907.10039744 6208391.51927147,274923.219459707 6208385.81208281,274930.766921183 6208406.30073956,274914.848233999 6208412.19313149,274907.10039744 6208391.51927147))",POINT (2.469639076188102 48.60676383277487),39,Boulevard Georges Michel,91100,Corbeil-Essonnes,,police
245,,police_municipale,,POINT (2.199540599999987 48.97611879969825),3,Avenue Maurice Berteaux,95240,Cormeilles-en-Parisis,,police
250,,police_municipale,"SRID=3857;POLYGON((299299.482879807 6265567.9211858,299300.818713697 6265554.36178341,299342.118244781 6265559.10757177,299341.005049873 6265571.48053253,299323.193931346 6265569.95509803,299323.082611856 6265570.97205433,299317.182678843 6265570.46357616,299317.293998334 6265569.44661992,299299.482879807 6265567.9211858))",POINT (2.688842103749421 48.94517153597588),,,,,,police
260,Brigade de gendarmerie de Lizy-sur-Ourcq,gendarmerie,"SRID=3857;POLYGON((335808.713636296 6279894.89558329,335823.964406534 6279894.7258031,335823.964406534 6279894.89558329,335824.075726025 6279904.40327937,335824.187045516 6279919.34396624,335823.741767553 6279919.34396624,335823.964406534 6279932.41708894,335818.843709958 6279932.41708894,335818.843709958 6279936.15227057,335813.945652363 6279936.32205159,335813.945652363 6279934.28467955,335809.158914259 6279934.28467955,335808.713636296 6279894.89558329))",POINT (3.016689997175154 49.02977110957175),,,,,,police
262,Commissariat subdivisionnaire de police d'Osny,police,"SRID=3857;POLYGON((229607.359071224 6285050.65594867,229611.923170347 6285032.81816105,229621.830605028 6285034.85676344,229620.383451647 6285040.97257357,229625.504148224 6285041.99187569,229623.389077899 6285050.31618094,229622.1645635 6285054.90304652,229607.359071224 6285051.33548419,229607.359071224 6285050.65594867))",POINT (2.062678413914506 49.05997721781208),,,,,,police
278,Police intercommunale,police_municipale,"SRID=3857;POLYGON((248858.907281217 6272208.40290448,248887.549786198 6272193.20444413,248893.783677682 6272205.01038864,248876.907642878 6272214.23803491,248898.481360194 6272255.35546354,248889.308634153 6272260.25767856,248889.842967708 6272261.24151445,248888.095251703 6272262.19142507,248887.471862554 6272260.97011143,248883.252853853 6272263.19222386,248859.029732657 6272217.17256424,248862.603088311 6272215.27275323,248858.907281217 6272208.40290448))",POINT (2.235713466428364 48.98447377367452),,,,,,police
300,,police_municipale,,POINT (2.525043799999977 48.69697369976751),,,,,,police
320,Commissariat de police de Paris 18ème arrondissement,police,,POINT (2.348045199999998 48.88963729971972),,,,,,police
331,,police_municipale,"SRID=3857;POLYGON((264363.396903311 6219914.43422122,264369.296836323 6219907.16833364,264388.19888586 6219922.61045948,264387.341725781 6219923.65566988,264396.481055975 6219931.12387056,264391.393755246 6219937.1422673,264363.396903311 6219914.43422122))",POINT (2.374963533505895 48.6751625553096),,,,,,police
344,,police_municipale,,POINT (3.302571700000037 48.56054219980123),,,,,,police
356,Brigade de gendarmerie de Nozay,gendarmerie,"SRID=3857;POLYGON((249890.315759264 6216496.69734935,249891.117259597 6216494.32129755,249892.041211371 6216493.2596576,249892.77592001 6216492.41708631,249893.488364751 6216492.06320639,249894.824198641 6216490.95101245,249896.839081424 6216490.39491554,249899.399429713 6216490.41176696,249902.995049265 6216487.68183719,249902.5720352 6216487.10888907,249911.622309802 6216480.23351473,249910.642698283 6216478.95280836,249930.357380102 6216463.98877981,249939.363126907 6216475.85215163,249921.752383464 6216489.21531615,249920.494473218 6216487.54702586,249918.613173823 6216488.97939629,249919.871084069 6216490.64768686,249919.615049241 6216490.8330525,249920.694848301 6216492.24857206,249911.800420987 6216499.00599605,249911.622309802 6216498.77007593,249909.050829564 6216500.48892274,249906.701988309 6216501.21353474,249907.603676184 6216504.66808115,249903.373535534 6216505.81397978,249904.720501372 6216510.78515947,249896.137768632 6216513.00955268,249894.657219405 6216513.4982452,249891.69612095 6216502.52794736,249892.185926709 6216502.39313579,249891.607065357 6216501.48315782,249890.4827385 6216499.22506475,249890.315759264 6216496.69734935))",POINT (2.245004676219295 48.65479145692975),1,Rue Louis Renard,91620,Nozay,,police
357,,,"SRID=3857;POLYGON((264534.828919133 6255897.5711742,264539.203775121 6255894.62537078,264537.211156236 6255891.76421787,264544.558242628 6255886.97305864,264547.396889644 6255890.934653,264573.412254642 6255874.91898806,264576.028262676 6255873.54766932,264586.25852388 6255889.81728005,264585.390231851 6255890.46061597,264586.202864134 6255891.86579725,264567.356474343 6255896.96169755,264564.061417415 6255897.84205273,264559.642033631 6255899.02714639,264553.975871549 6255900.55083848,264542.732602979 6255903.54743372,264539.916219862 6255904.30928013,264539.45980995 6255904.42778958,264534.828919133 6255897.5711742))",POINT (2.376598091176015 48.88806980001846),,,,,,police
368,,police,"SRID=3857;POLYGON((263587.121566214 6238202.17071262,263589.993609076 6238184.4989959,263619.20384346 6238189.63494036,263616.175953311 6238207.12082725,263587.121566214 6238202.17071262))",POINT (2.367986972268994 48.78344344883533),,,,,,police
383,,police_municipale,"SRID=3857;POLYGON((268419.456133753 6269420.01068208,268428.361693017 6269415.43229633,268431.58995825 6269421.53681121,268433.482389593 6269420.51939175,268439.271003114 6269431.03273202,268437.155932789 6269432.05015274,268440.161559041 6269437.64596888,268442.053990384 6269436.62854749,268444.948297145 6269442.22436666,268435.263501446 6269446.12448524,268426.02398371 6269432.389293,268419.456133753 6269420.01068208))",POINT (2.411364871912169 48.96798462648519),,,,,,police
402,Brigade de gendarmerie d'Égly,gendarmerie,"SRID=3857;POLYGON((247436.733994638 6204376.77680093,247440.073579362 6204362.81005052,247453.431918257 6204366.17553045,247453.209279276 6204367.52172279,247470.352480858 6204371.89684938,247470.018522386 6204373.41131681,247481.373110446 6204376.103704,247477.922206232 6204390.07047624,247466.678937662 6204387.37808463,247467.124215625 6204385.86361471,247449.758375061 6204381.65675527,247450.203653024 6204380.14228638,247436.733994638 6204376.77680093))",POINT (2.222962355040817 48.58286472059436),9,Allée des Joncs,91520,Égly,,police
417,,police,,POINT (2.317907199999977 48.87774069972264),1-3,Rue de Lisbonne,75008,Paris,,police
422,,police_municipale,,POINT (2.417667400000021 48.61182939978856),8,Mail de l'Île-de-France,91090,Lisses,,police
436,Commissariat Central de Police du 10e,police,"SRID=3857;POLYGON((263369.814788236 6254655.29491086,263395.896944929 6254633.28928879,263434.881030605 6254679.04411946,263431.786348761 6254681.46474817,263398.535216861 6254707.41460851,263392.312457325 6254699.35710911,263412.717319988 6254682.63274409,263394.082437229 6254660.745543,263383.18425908 6254669.63245077,263383.774252382 6254670.54653324,263383.273314673 6254671.08821179,263369.814788236 6254655.29491086))",POINT (2.366190900984753 48.88084144167174),,,,,,police
439,Département de l'investigation judiciaire de la Brigade des réseaux ferrés,,,POINT (2.364811999999974 48.89336219971874),,,,,,police
450,,police,"SRID=3857;POLYGON((273522.775737731 6237169.43388146,273527.952094053 6237051.49108,273544.405114792 6237051.96406418,273544.471906487 6237052.9944941,273545.807740376 6237052.9944941,273547.622248076 6237025.76415863,273552.186347199 6237030.83183231,273557.741189789 6237025.83172759,273552.998979481 6237020.44310453,273600.432214508 6236977.01329257,273602.391437546 6236978.83764426,273603.693875589 6236977.40181188,273602.146534667 6236975.59435264,273606.254223877 6236971.6078084,273655.702341687 6237024.83508545,273650.002783759 6237030.4939873,273651.282957903 6237031.79469065,273655.646681942 6237027.45338285,273659.765503101 6237032.11564345,273637.501604943 6237052.84246345,273625.501363835 6237063.09609239,273601.556541365 6237085.39397739,273606.009320997 6237089.53260643,273604.851598293 6237091.17116625,273601.166923148 6237093.51920612,273596.146414113 6237096.10373996,273589.278001531 6237098.1139335,273584.045985464 6237098.73895175,273579.749053119 6237099.02612232,273576.264753057 6237172.13668617,273554.924806672 6237171.10624178,273554.835751079 6237173.82593955,273539.384605757 6237173.04888295,273539.562716943 6237170.32918543,273522.775737731 6237169.43388146))",POINT (2.457594040002569 48.77678008784633),,,,,,police
463,Brigade de gendarmerie de Louvres,gendarmerie,,POINT (2.513778500000008 49.04592749968095),,,,,,police
494,Commissariat de police de Sartrouville,police,"SRID=3857;POLYGON((240499.158613064 6264282.50173877,240502.231031009 6264280.51897615,240503.978747015 6264280.48508278,240505.681935224 6264282.82372591,240507.808137498 6264283.39991345,240508.353603003 6264280.73928308,240519.27404505 6264272.84213038,240518.517072512 6264271.70670345,240521.745337745 6264269.38501005,240520.554219194 6264267.45309049,240523.916067816 6264265.06361163,240518.116322346 6264256.65807436,240514.108820677 6264250.65896618,240515.589369905 6264243.10077379,240515.88993253 6264242.6771085,240531.953335051 6264231.4076195,240542.383971339 6264246.13421791,240542.172464306 6264248.03223936,240541.626998801 6264249.64216861,240540.959081856 6264250.55728642,240538.832879582 6264252.09942963,240543.396978705 6264258.86113776,240548.77371011 6264255.20066352,240551.623489074 6264259.26785722,240551.456509838 6264260.40328248,240551.834996107 6264262.33520044,240547.771834693 6264267.0633173,240540.480408046 6264272.67266366,240543.497166246 6264276.85849253,240539.567588221 6264279.79026864,240540.424748301 6264281.33241717,240540.625123384 6264282.67120569,240540.380220504 6264285.34878335,240534.179724867 6264290.67004781,240532.242765727 6264292.33082531,240527.645270758 6264286.8570395,240519.975357842 6264292.55113255,240524.984734928 6264299.04172543,240516.49105778 6264306.39660693,240510.591124768 6264298.09270893,240505.793254715 6264291.34791614,240499.158613064 6264282.50173877))",POINT (2.160691478954589 48.93753100937712),36,Rue Louise Michel,78500,Sartrouville,,police
498,Brigade de gendarmerie de Villiers-Saint-Georges,gendarmerie,"SRID=3857;POLYGON((379055.734684232 6216141.13954191,379056.781087446 6216115.86348703,379068.436238132 6216116.33530603,379067.389834918 6216141.62821304,379055.734684232 6216141.13954191))",POINT (3.405172655758542 48.65265692573929),,,,,,police
525,Brigade de gendarmerie de Crécy-la-Chapelle,gendarmerie,,POINT (2.902900199999982 48.86333909972621),,,,,,police
527,Police Municipale Intercommunale,police_municipale,"SRID=3857;POLYGON((253193.265238642 6273680.83242488,253194.166926517 6273664.51159334,253205.165292208 6273665.10538603,253204.786805939 6273677.16786953,253202.404568836 6273677.01517975,253202.170797905 6273681.34139103,253193.265238642 6273680.83242488))",POINT (2.27452582766916 48.99299367450924),,,,,,police
530,,police_municipale,,POINT (1.949782500000036 48.76770599974996),,,,,,police
542,,police_municipale,,POINT (2.228742799999957 48.78786199974494),,Avenue du Général de Gaulle,,,,police
565,,police_municipale,,POINT (2.505495899999957 48.84036709973194),2,Rue Denfert-Rochereau,94170,Le Perreux-sur-Marne,,police
586,,police_municipale,,POINT (2.631012999999972 48.8836244997212),,,,,,police
627,Commissariat de police de Rosny-sous-Bois,police,,POINT (2.486911699999961 48.8746883997234),,,,,,police
630,,police_municipale,"SRID=3857;POLYGON((265047.622153472 6260532.2338615,265057.830150778 6260509.34905911,265061.54822177 6260509.80641577,265063.25140998 6260497.25452533,265078.134825899 6260499.50742737,265076.364845995 6260512.14401686,265080.828757576 6260512.60137367,265083.377973915 6260525.0347127,265077.990110561 6260526.10188026,265068.962099857 6260524.66205105,265069.329454177 6260521.85015001,265065.822890217 6260521.34197522,265064.876674545 6260528.74439097,265047.622153472 6260532.2338615))",POINT (2.381136236569603 48.91538150678365),,,,,,police
648,Gendarmerie - Brigade de Chevreuse,gendarmerie,"SRID=3857;POLYGON((226371.858071318 6224531.46841697,226376.422170441 6224510.72156002,226372.637307754 6224509.87819293,226375.531614514 6224496.55300393,226379.873074655 6224497.3963697,226382.656061925 6224485.08323775,226392.674816096 6224487.27598596,226388.889953409 6224505.15533874,226385.550368686 6224504.4806455,226383.880576324 6224511.22758032,226381.431547526 6224521.34799261,226383.991895814 6224522.02268719,226386.329605121 6224511.73360065,226396.682317765 6224514.09502924,226395.457803366 6224518.64921482,226399.576624526 6224519.66125639,226401.023777906 6224514.93839676,226421.951842175 6224519.49258279,226418.38961847 6224536.02261186,226411.933088004 6224534.67322052,226411.042532077 6224538.38404721,226402.693570268 6224536.35995973,226402.248292305 6224537.8780253,226396.348359292 6224536.52863366,226397.35023471 6224532.14311235,226393.342733041 6224530.96239546,226392.118218642 6224536.02261186,226371.858071318 6224531.46841697))",POINT (2.033724581162562 48.70242184285325),,,,,,police
651,,police_municipale,,POINT (2.14761409999996 48.88045929972197),3t,Boulevard Fernand Hostachy,78290,Croissy-sur-Seine,,police
658,Brigade de gendarmerie de Rozay-en-Brie,gendarmerie,,POINT (2.955286799999974 48.68703299976994),,,,,,police
659,Gendarmerie - Brigade de Montmorency,gendarmerie,,POINT (2.327470999999989 48.99032169969473),2,Rue des Gallérands,95160,,,police
671,,police_municipale,,POINT (2.23870150000002 48.8827795997214),,,,,,police
674,,police_municipale,"SRID=3857;POLYGON((227517.446951072 6277158.31239857,227521.231813759 6277156.61514669,227524.905356955 6277147.28026743,227535.814667052 6277151.86284323,227535.925986543 6277152.03256831,227532.141123856 6277161.19772755,227526.463829826 6277163.74360688,227521.009174777 6277166.11976162,227517.446951072 6277158.31239857))",POINT (2.043907218151848 49.0135259432498),,,,,,police
680,,police_municipale,,POINT (2.296155799999985 48.80556699974059),,,,,,police
684,,police_municipale,"SRID=3857;POLYGON((259666.371176831 6260096.02731916,259675.321263891 6260083.95031438,259696.72800197 6260099.2117216,259687.766782961 6260111.45813154,259666.371176831 6260096.02731916))",POINT (2.332759154633423 48.91291434260302),,,,,,police
690,Commissariat de police de Charenton-le-Pont,police,,POINT (2.410132999999957 48.8226940997363),26,Rue de Conflans,94220,,,police
691,Commissariat de police de Montereau Fault Yonne,police,,POINT (2.954179300000006 48.38119659984541),5,Avenue du Maréchal Leclerc,77305,Montereau Fault Yonne,,police
696,Commissariat de police de Clichy-la-Garenne,police,,POINT (2.305769299999974 48.90419709971608),96,,,,,police
698,Brigade de gendarmerie de Dammartin-en-Goële,gendarmerie,"SRID=3857;POLYGON((298474.282626506 6285581.6616736,298490.101126148 6285426.7022714,298514.591414122 6285431.47622214,298568.18061699 6285422.81175837,298553.252673275 6285554.49557786,298566.24365785 6285551.65834838,298568.18061699 6285591.95728996,298474.282626506 6285581.6616736))",POINT (2.681675292171819 49.06271562404158),,,,,,police
702,,police_municipale,"SRID=3857;POLYGON((268988.165148318 6254375.9462479,268989.912864323 6254371.07131216,268990.903607791 6254368.34608889,268993.196789302 6254362.04930307,269005.820419558 6254366.80574569,269004.273078636 6254373.06868133,269002.336119496 6254380.88889395,268988.165148318 6254375.9462479))",POINT (2.416443957068064 48.87909705393186),,,,,,police
705,Commissariat de police de Trappes,police,,POINT (1.984988599999973 48.77677449974772),,Place des Merisiers,78190,Trappes,,police
711,,police_municipale,,POINT (2.199704499999978 49.0085097996902),,,,,,police
