,Nom,police-FR,osm_original_geom,geometry,numero_hab,rue,code_postal,ville,Adresse_full,type
2817,,police,"SRID=3857;POLYGON((262768.444635073 6253969.2880802,262774.789846048 6253966.73224671,262774.556075117 6253966.13983509,262774.478151474 6253966.17368718,262774.311172237 6253965.75053604,262773.142317584 6253966.22446532,262773.042130042 6253965.95364859,262772.596852079 6253966.13983509,262772.017990727 6253964.70112132,262777.673020859 6253962.43303186,262778.285278059 6253963.95637546,262777.940187637 6253964.09178379,262778.006979332 6253964.26104421,262777.528305521 6253964.46415672,262777.706416707 6253964.88730779,262777.55056942 6253964.93808592,262777.78434035 6253965.53049746,262778.574708735 6253965.20890262,262780.945813889 6253971.08224191,262786.033114618 6253969.01726336,262787.190837322 6253971.87776657,262786.879142748 6253972.01317502,262787.157441475 6253972.70714341,262787.480267998 6253972.588661,262788.42648367 6253975.00908775,262788.459879517 6253975.09371806,262781.123925074 6253978.05577973,262780.912418041 6253977.53107159,262779.398472967 6253978.14041008,262777.261138743 6253972.65636524,262773.576463598 6253974.09508036,262773.654387242 6253974.28126704,262773.442880209 6253974.36589736,262773.364956566 6253974.17971067,262770.815740227 6253975.16142232,262768.444635073 6253969.2880802))",POINT (2.360576776115457 48.87673165062853),,,,,,police
2828,,police_municipale,,POINT (2.225817999999977 48.74205739975629),,,,,,police
2847,,police,,POINT (2.391113900000014 48.65130519977877),,,,,,police
2849,,police_municipale,,POINT (2.285452899999997 48.96756469970038),3,Allée Maurice Ravel,95210,Saint-Gratien,,police
2871,,police_municipale,,POINT (3.095010699999971 48.81755779973759),,,,,,police
2919,Brigade de gendarmerie de Fosses,gendarmerie,"SRID=3857;POLYGON((279730.952419781 6291646.93508469,279736.729901353 6291646.40803299,279736.718769404 6291643.70476837,279742.563042671 6291643.34773348,279741.427583865 6291629.67840923,279768.700859109 6291631.22555801,279790.385895916 6291632.50068084,279790.630798795 6291643.26272518,279756.778541645 6291646.03399632,279758.225695025 6291667.21809907,279732.355045365 6291669.5303318,279730.952419781 6291646.93508469))",POINT (2.513083137972314 49.0988266647819),,,,,,police
2932,Commissariat de police de L'Hay-les-Roses,police,"SRID=3857;POLYGON((259498.423461071 6237167.28853084,259515.900621126 6237157.15302342,259527.811806641 6237178.26867755,259547.515356511 6237166.78175518,259558.424666609 6237185.87032591,259538.721116738 6237197.35727414,259542.505979425 6237203.94538382,259524.91749988 6237214.24987332,259498.423461071 6237167.28853084))",POINT (2.331375900055876 48.77745724775381),,,,,,police
2938,,police_municipale,"SRID=3857;POLYGON((279441.343632533 6240157.70781722,279447.622051814 6240154.02394906,279451.562761788 6240151.70885841,279453.611040419 6240150.50906716,279456.872701499 6240155.52791339,279465.010156276 6240150.61045796,279472.802520632 6240163.28431794,279462.171509261 6240170.3478908,279468.717095319 6240176.83691985,279462.984141544 6240181.38262284,279441.343632533 6240157.70781722))",POINT (2.510416807493393 48.79508777243188),,,,,,police
2946,Commissariat de police de Moissy Cramayel Sénart,police,"SRID=3857;POLYGON((286511.65637493 6211920.49072694,286541.601317953 6211920.82757416,286541.712637444 6211919.48018534,286600.934606546 6211919.81703253,286601.157245528 6211936.49098487,286596.593146405 6211936.6594088,286596.593146405 6211944.23848901,286570.878344032 6211944.57533718,286570.878344032 6211962.76515798,286596.481826914 6211962.76515798,286596.481826914 6211978.26022122,286546.276736567 6211978.26022122,286546.276736567 6211962.76515798,286555.516254303 6211962.76515798,286555.516254303 6211951.48072753,286555.516254303 6211944.57533718,286555.627573793 6211940.02788806,286551.063474671 6211939.85946407,286550.061599254 6211939.52261608,286548.614445873 6211939.01734414,286547.389931475 6211938.1752243,286546.276736567 6211937.1646806,286523.567560445 6211937.1646806,286523.567560445 6211935.48044137,286511.65637493 6211935.48044137,286511.65637493 6211920.49072694))",POINT (2.574244190659696 48.62781400584924),,Avenue Jean Jaurès,77550,Moissy-Cramayel,,police
2966,,police_municipale,,POINT (2.305879099999983 48.90298589971638),,,,,,police
2972,,police_municipale,,POINT (2.770689700000019 48.8575460997277),,,,,,police
