,Adresse,dep,Nom,commune,code_postal,geometry,Emplacements,Surface,permanence_24h,distance_police,distance_hopitaux,defib_moins_2km,langues_accueil,internet_partout,Classement,label
36,rue de la barauderie,77,CAMP DE LOISIRS LA BARAUDE,DARVAULT,77140,POINT (2.730284 48.268853),140,14000.0,0,10140,3267,1,1,0,2,0
37,chemin du port,77,CAMPING DE L'ILE DEMOISELLE,ANNET-SUR-MARNE,77410,POINT (2.72119 48.922775),169,16900.0,0,4270,25009,1,1,0,2,0
38,29 ter rue des petits clozeaux hameau de grand bréau,77,CAMPING LA VALLÉE DES TAMARIS,COURPALAY,77540,POINT (2.942622 48.651633),100,10000.0,1,6561,24805,0,3,0,3,1
39,131 boulevard des Alliés,94,CAMPING PARIS EST,CHAMPIGNY-SUR-MARNE,94500,POINT (2.479225 48.828034),373,46625.0,1,4910,3567,0,3,1,4,1
40,chemin de Bellerive,95,CAMPING GCU AUVERS-SUR-OISE,AUVERS-SUR-OISE,95430,POINT (2.168358 49.064558),30,3000.0,0,2106,8407,1,1,0,2,0
41,chemin de médan rive gauche,78,CAMPING  ILE DU ROI,TRIEL-SUR-SEINE,78510,POINT (1.997881 48.967232),135,13500.0,0,4633,8349,0,1,0,2,2
42,1 chemin de l'île,78,CAMPING LOISIRS DES GROUX,MOUSSEAUX-SUR-SEINE,78270,POINT (1.65175 49.04386),129,12900.0,0,6294,11921,0,1,0,2,2
43,Route des Princes,95,CAMPING LES PRINCES,ASNIÈRES-SUR-OISE,95270,POINT (2.359441 49.127214),70,7000.0,0,1035,11445,1,1,0,2,0
44,CHEMIN DE MEDAN,78,CAMPING LES 4 ARPENTS,TRIEL-SUR-SEINE,78510,POINT (1.997881 48.967232),97,9700.0,0,4633,8349,0,1,0,1,2
45,8 chemin des Perons,78,CAMPING LES CHESNETS,VERNEUIL-SUR-SEINE,78480,POINT (1.960946 48.969955),40,4000.0,0,5081,8799,1,1,0,1,0
46,Base de Loisirs de Jablines Annet,77,CAMPING INTERNATIONAL DE JABLINES,JABLINES,77450,POINT (2.739204 48.914757),154,15400.0,1,12646,11647,0,3,0,3,1
47,CHEMIN DU PASSEUR,77,LES COURTILLES DU LIDO,VENEUX-LES-SABLONS,77250,POINT (2.799896 48.381672),83,8300.0,1,2215,9881,1,3,0,3,3
48,4 RUE DES MAUROIS,95,CAMPING DES MAUROIS,GRISY-LES-PLÂTRES,95810,POINT (2.057454 49.132302),170,17000.0,0,11577,8091,1,1,0,2,0
49,42 rue du Criquet,78,CAMPING LE CRIQUET,FRENEUSE,78840,POINT (1.612012 49.057919),192,19200.0,0,3968,13674,1,1,0,1,0
51,1 chemin rural des prés,77,CAMPING LES PRÉS,GREZ-SUR-LOING,77880,POINT (2.692876 48.313797),133,13300.0,0,8267,8905,1,1,0,2,0
