,Nom,police-FR,geometry,numero_hab,rue,code_postal,ville,Adresse
4938,Commissariat de police de Fontenay-sous-Bois,police,POINT (2.474570044965252 48.84947327623988),,,,,
4939,Brigade de gendarmerie de Coubert,gendarmerie,POINT (2.692373599999974 48.67208859977363),,,,,
4955,Commissariat de police d'Argenteuil,police,POINT (2.25599130117459 48.94492817676796),,,,,
4957,Commissariat de police d'Alfortville,police,POINT (2.414985700000024 48.80546549974058),,,,,
4968,Brigade de gendarmerie de Bréval,gendarmerie,POINT (1.524755917228254 48.94520033095885),,,,,
4971,Commissariat de police d'Arpajon,police,POINT (2.244451557896519 48.58816410250279),10,Rue du Docteur Louis Babin,91290,Arpajon,
4973,,police_municipale,POINT (2.459813199999975 48.89575299971816),,,,,
4975,Groupement II/1 de Gendarmerie mobile,gendarmerie,POINT (2.432553400000033 48.80809309973991),,Avenue Busteau,94700,,
4994,,,POINT (2.259103341830555 48.97138100967006),44,,,,
5007,Commissariat de la Goutte d'Or,police,POINT (2.351916144986355 48.88534808746993),,,,,
5016,Commissariat de police de Chennevieres-sur-Marne,police,POINT (2.531742299999989 48.79902679974217),,,,,
5020,,police_municipale,POINT (2.479854899999961 48.83655229973289),,,,,
5031,Brigade de gendarmerie de Jouars-Pontchartrain,gendarmerie,POINT (1.894495426885237 48.80437577790208),,,,,
5034,,,POINT (2.32793591218986 48.88117891212212),,,,,
5036,,police,POINT (2.318430000000006 48.84093529973178),,,,,
5040,,,POINT (2.346368300000009 48.85504369972831),,,,,
5060,Commissariat de police de Saint-Maur-des-Fosses,police,POINT (2.489966359665549 48.79552613822431),,,,,
5068,,police_municipale,POINT (2.225659499999983 49.00028839969229),156,Chaussée Jules César,,,
5101,,,POINT (2.345755000000041 48.93563109970828),,,,,
5113,Commissariat de police de Epinay-sur-Seine,police,POINT (2.312599600000016 48.95217469970423),,,,,
5120,Brigade de gendarmerie de Saint-Chéron,gendarmerie,POINT (2.123168600080691 48.55141513371621),6,Impasse Vauvilliers,91530,Saint-Chéron,
5130,,police,POINT (2.300263399999962 48.84143839973166),,,,,
5135,,police_municipale,POINT (2.588950671355697 48.62763325231856),306,Avenue Philippe Bur,77550,Moissy-Cramayel,
5137,Commissariat de police de Franconville,police,POINT (2.227729065377693 48.98491095396667),10,Boulevard Maurice Berteaux,95130,Franconville,
5143,,police_municipale,POINT (2.261152500000022 48.99088719969463),,,,,
5158,Commissariat de police de Livry-Gargan,police,POINT (2.522467000000032 48.91285049971393),,,,,
5161,,police_municipale,POINT (2.224969000000008 48.8714703997242),,Rue du Clos des Ermites,,,
5165,Commissariat de police de La-Celle-Saint-Cloud,police,POINT (2.136579600000035 48.84886359972985),8,Avenue Charles de Gaulle,78170,La Celle-Saint-Cloud,
5179,Commissariat de police de la Plaine-Saint-Denis,police,POINT (2.362185517396555 48.91515621606807),,,,,
5185,Unité de police de quartier Porte Saint-Martin,police,POINT (2.358279200000013 48.87250689972393),,,,,
5189,,police_municipale,POINT (2.407856577124105 48.617792763906),14,Route de Versailles,91080,Évry-Courcouronnes,
5214,,police,POINT (2.419330100000003 48.86754529972517),,,,,
5228,,gendarmerie,POINT (2.267087200000015 48.81931559973717),,,,,
5229,Brigade de gendarmerie d'Ecquevilly,gendarmerie,POINT (1.918157120818436 48.95270466130506),21,Rue du Bel-Air,78920,Ecquevilly,
5232,Commissariat de police de Sèvres,police,POINT (2.209535599999998 48.82331379973613),4,Avenue de l'Europe,92310,Sèvres,
5240,Commissariat de police de Rueil-Malmaison,police,POINT (2.178509700000025 48.87240879972401),13,Rue Charles Floquet,92500,Rueil-Malmaison,
5243,Commissariat de police de Asnières-sur-Seine,police,POINT (2.287844665310839 48.906606643437),12,Rue du Château,92600,Asnières-sur-Seine,
5247,Commissariat central de police de Paris 14e arrondissement,police,POINT (2.332287999999978 48.83200069973397),,,,,
5253,Commissariat de police de Noisiel,police,POINT (2.615137892513343 48.84739319100738),,,,,
5256,Commissariat de police de Bondy,police,POINT (2.485995570436277 48.90145063280931),,,,,
5271,,police,POINT (2.390175300000001 48.84262639973134),,,,,
5294,,police_municipale,POINT (2.309633200000009 48.97142199969942),,,,,
5300,Commissariat de police de Saint-Germain-En-Laye,police,POINT (2.093324699999981 48.89997749971717),19,Rue de Pontoise,78100,Saint-Germain-en-Laye,
5311,Commissariat de police de Pontault-Combault,police,POINT (2.605265200000035 48.7990166997422),162,Avenue de la République,77340,Pontault-Combault,
5320,Brigade de gendarmerie d'Angerville,gendarmerie,POINT (1.999691066935699 48.31511449869106),,Avenue du Général de Gaulle,91670,Angerville,
5327,,police_municipale,POINT (2.568753800000031 48.93623869970818),,,,,
5341,,police,POINT (2.360726600000036 48.7724032997488),,,,,
5348,Commissariat de police de Sarcelles,police,POINT (2.370239642951756 48.97743297595211),,,,,
5359,Commissariat de police de Dammarie-les-Lys,police,POINT (2.628362400000032 48.51865089981157),462,Avenue du Lys,77190,Dammarie Les Lys,
5395,Commissariat de police de Chessy,police,POINT (2.785436206463999 48.86129362731774),,Rue du Grand Secours,77700,Chessy,
5403,,police_municipale,POINT (2.295801599999975 48.69558029976785),,,,,
5406,Gendarmerie - Brigade de Donnemarie-Dontilly,gendarmerie,POINT (3.134150000000015 48.47323529982275),16,Avenue du Ralloy,77520,Donnemarie-Dontilly,
5412,,police_municipale,POINT (2.301698499999985 48.79479599974319),,,,,
5421,,police_municipale,POINT (2.705485169473648 48.23087763530739),,,,,
5422,,,POINT (2.106028399999976 49.04647929968085),,,,,
5427,,police_municipale,POINT (2.32365399999997 48.67205189977366),,,,,
5448,Commissariat de police de Vanves,police,POINT (2.2872071 48.81885989973724),28,Rue Raymond Marcheron,92170,,
5450,,police,POINT (2.3137453 48.9860148996958),6,Rue de Valmy,95160,Montmorency,
5453,,police_municipale,POINT (2.270634900000039 48.88386319972112),,,,,
5455,,police_municipale,POINT (2.112291099999966 48.87849339972249),9,Avenue Simon Vouet,78560,Le Port-Marly,
5467,Commissariat du Quartier de la Muette,police,POINT (2.277309200000025 48.85771789972759),,,,,
5472,Gendarmerie - Peloton motorisé de Coutevroult,gendarmerie,POINT (2.838460970842787 48.85129966710095),,,,,
5496,,police_municipale,POINT (1.942180999999992 48.57256669979826),,,,,
5502,Commissariat de police de Gennevilliers,police,POINT (2.292375699999964 48.92479799971096),19,Avenue de la Libération,92230,Gennevilliers,
