,Nom,police-FR,geometry,numero_hab,rue,code_postal,ville,Adresse
2563,Brigade de gendarmerie de Noisy-le-Roi,gendarmerie,POINT (2.057975100000033 48.84780979973006),102,Rue André Le Bourblanc,78590,Noisy-le-Roi,
2580,,police_municipale,POINT (2.062281999999966 49.06595939967602),,,,,
2583,Commissariat de police de Sainte-Geneviève-des-Bois,police,POINT (2.337350885751734 48.63106366630304),,,,Sainte-Geneviève-des-Bois,
2584,,police_municipale,POINT (2.170520000000034 48.68103709977144),,,,,
2591,,police_municipale,POINT (2.118378999999963 48.83587149973302),,,,,
2608,,police_municipale,POINT (2.173788200000029 48.73120799975898),,,,,
2639,,police_municipale,POINT (2.337212599999973 48.79390039974345),22,,,,
2642,,,POINT (2.372188700051585 48.73292359980295),,,,,
2643,,police_municipale,POINT (2.249631967681817 48.71909407639769),,,,,
2646,Commissariat de police du 17e arrondissement,police,POINT (2.322376000000004 48.88416899972106),,,,,
2657,,police,POINT (2.227166099999991 49.02408569968636),,,,,
2662,,police_municipale,POINT (2.510040699999982 48.63923109978175),,,,,
2675,Commissariat de police de Paris 9ème arrondissement,police,POINT (2.339787899999974 48.87348319972368),,,,,
2687,Commissariat de police Javel-Grenelle,police,POINT (2.27683340000002 48.84333369973115),34,Rue Balard,75015,Paris,
2692,,,POINT (2.346751313193531 48.85436888134576),,,,,
2703,,police_municipale,POINT (2.505593304731445 48.69884539456923),25,Rue de la Gare,,,
2709,Commissariat de police du 15e arrondissement,police,POINT (2.30243080678453 48.84011647422762),,,,,
2714,,,POINT (2.263347536901006 48.52211609071958),35,Rue de Verdun,91510,Lardy,
2720,Commissariat de police du 10e arrondissement – BDEP Chabrol,police,POINT (2.352787900000041 48.8768354997229),,,,,
2721,Brigade de gendarmerie de Bonnières-sur-Seine,gendarmerie,POINT (1.587784083965466 49.03761176994177),,,,,
2723,,police_municipale,POINT (2.135536090913331 48.80992373336888),,,,,
2725,,police_municipale,POINT (3.080639699999972 48.81450629973836),,,,,
2731,,police_municipale,POINT (2.264575200000039 48.69142359976887),,,,,
2734,Brigade de gendarmerie de Chaumes-en-Brie,gendarmerie,POINT (2.842672800000007 48.66361979977572),,,,,
2762,,police_municipale,POINT (2.533294099999961 48.79481449974323),,,,,
2768,,police_municipale,POINT (2.544718299999956 48.78774139974497),,,,,
2769,Commissariat de police de Marly-Le-Roi,police,POINT (2.096195100000043 48.86844359972495),2,Rue Willy Blumenthal,78160,Marly-le-Roi,
